"ORDRE","NOM","GENERE","ANY","FREQ‹»NCIA"
5,"POL","Home",1998,144
6,"VICTOR","Home",1998,139
7,"ALBERT","Home",1998,135
8,"SERGI","Home",1998,130
9,"PAU","Home",1998,122
10,"ALEJANDRO","Home",1998,117
11,"ARNAU","Home",1998,109
12,"GUILLEM","Home",1998,104
13,"JORDI","Home",1998,104
14,"ORIOL","Home",1998,100
15,"CARLOS","Home",1998,94
16,"JAVIER","Home",1998,92
17,"OSCAR","Home",1998,92
18,"JOAN","Home",1998,91
19,"ROGER","Home",1998,84
20,"ADRIA","Home",1998,81
21,"ERIC","Home",1998,80
22,"GERARD","Home",1998,80
23,"IVAN","Home",1998,78
24,"PABLO","Home",1998,64
25,"SERGIO","Home",1998,64
1,"MARC","Home",1999,291
2,"ALEX","Home",1999,169
3,"DANIEL","Home",1999,166
4,"DAVID","Home",1999,159
5,"VICTOR","Home",1999,157
6,"POL","Home",1999,155
7,"PAU","Home",1999,133
8,"ALBERT","Home",1999,122
9,"ALEJANDRO","Home",1999,118
10,"JORDI","Home",1999,115
11,"ARNAU","Home",1999,112
12,"GUILLEM","Home",1999,110
13,"SERGI","Home",1999,107
14,"ORIOL","Home",1999,101
15,"JOAN","Home",1999,97
16,"GERARD","Home",1999,93
17,"OSCAR","Home",1999,91
18,"ROGER","Home",1999,91
19,"CARLOS","Home",1999,88
20,"ADRIA","Home",1999,82
21,"ERIC","Home",1999,80
22,"PABLO","Home",1999,75
23,"JOEL","Home",1999,70
24,"JAVIER","Home",1999,65
25,"XAVIER","Home",1999,65
1,"MARC","Home",2000,290
2,"ALEX","Home",2000,201
3,"POL","Home",2000,189
4,"DAVID","Home",2000,187
5,"DANIEL","Home",2000,176
6,"VICTOR","Home",2000,150
7,"PAU","Home",2000,134
8,"ALBERT","Home",2000,125
9,"ARNAU","Home",2000,120
10,"ALEJANDRO","Home",2000,117
11,"SERGI","Home",2000,111
12,"JOAN","Home",2000,107
13,"JORDI","Home",2000,105
14,"CARLOS","Home",2000,102
15,"ORIOL","Home",2000,102
16,"GUILLEM","Home",2000,91
17,"GERARD","Home",2000,84
18,"ERIC","Home",2000,83
19,"XAVIER","Home",2000,82
20,"JAVIER","Home",2000,80
21,"JOEL","Home",2000,80
22,"ROGER","Home",2000,80
23,"ADRIA","Home",2000,74
24,"OSCAR","Home",2000,74
25,"PABLO","Home",2000,71
1,"MARC","Home",2001,234
2,"ALEX","Home",2001,164
3,"POL","Home",2001,159
4,"DAVID","Home",2001,154
5,"PAU","Home",2001,151
6,"DANIEL","Home",2001,143
7,"ALEJANDRO","Home",2001,132
8,"VICTOR","Home",2001,126
9,"GERARD","Home",2001,125
10,"ARNAU","Home",2001,108
11,"JOAN","Home",2001,108
12,"ALBERT","Home",2001,105
13,"JORDI","Home",2001,99
14,"SERGI","Home",2001,96
15,"IVAN","Home",2001,91
16,"ADRIA","Home",2001,85
17,"PABLO","Home",2001,85
18,"GUILLEM","Home",2001,83
19,"CARLOS","Home",2001,80
20,"ORIOL","Home",2001,80
21,"ERIC","Home",2001,71
22,"JOEL","Home",2001,70
23,"XAVIER","Home",2001,70
24,"JAVIER","Home",2001,67
25,"MARTI","Home",2001,64
1,"MARC","Home",2002,267
2,"POL","Home",2002,175
3,"DAVID","Home",2002,150
4,"PAU","Home",2002,149
5,"ALEX","Home",2002,148
6,"DANIEL","Home",2002,128
7,"ALEJANDRO","Home",2002,124
8,"VICTOR","Home",2002,120
9,"ARNAU","Home",2002,115
10,"GERARD","Home",2002,106
11,"PABLO","Home",2002,103
12,"JOAN","Home",2002,97
13,"ALBERT","Home",2002,88
14,"JOEL","Home",2002,86
15,"ERIC","Home",2002,84
16,"JORDI","Home",2002,78
17,"ORIOL","Home",2002,77
18,"GUILLEM","Home",2002,74
19,"ADRIA","Home",2002,73
20,"SERGI","Home",2002,72
21,"CARLOS","Home",2002,65
22,"OSCAR","Home",2002,65
23,"RAUL","Home",2002,65
24,"IVAN","Home",2002,62
25,"XAVIER","Home",2002,61
1,"MARC","Home",2003,287
2,"ALEX","Home",2003,205
3,"PAU","Home",2003,202
4,"POL","Home",2003,184
5,"DAVID","Home",2003,173
6,"DANIEL","Home",2003,156
7,"JOAN","Home",2003,119
8,"ARNAU","Home",2003,109
9,"VICTOR","Home",2003,107
10,"ALEJANDRO","Home",2003,105
11,"PABLO","Home",2003,104
12,"GERARD","Home",2003,94
13,"JORDI","Home",2003,93
14,"ORIOL","Home",2003,90
15,"ERIC","Home",2003,89
16,"JAN","Home",2003,87
17,"SERGI","Home",2003,82
18,"ADRIA","Home",2003,79
19,"ALBERT","Home",2003,79
20,"MARTI","Home",2003,79
21,"GUILLEM","Home",2003,72
22,"JOEL","Home",2003,72
23,"ADRIAN","Home",2003,68
24,"ALVARO","Home",2003,68
25,"CARLOS","Home",2003,63
1,"MARC","Home",2004,259
2,"ALEX","Home",2004,185
3,"POL","Home",2004,181
4,"PAU","Home",2004,173
5,"DAVID","Home",2004,129
6,"DANIEL","Home",2004,128
7,"ARNAU","Home",2004,125
8,"VICTOR","Home",2004,116
9,"ALEJANDRO","Home",2004,107
10,"PABLO","Home",2004,107
11,"JOAN","Home",2004,98
12,"ADRIA","Home",2004,93
13,"JOEL","Home",2004,93
14,"GERARD","Home",2004,90
15,"ERIC","Home",2004,88
16,"JAN","Home",2004,88
17,"MARTI","Home",2004,88
18,"GUILLEM","Home",2004,82
19,"ORIOL","Home",2004,81
20,"JORDI","Home",2004,80
21,"SERGI","Home",2004,79
22,"IVAN","Home",2004,75
23,"ALBERT","Home",2004,73
24,"OSCAR","Home",2004,61
25,"XAVIER","Home",2004,61
1,"MARC","Home",2005,277
2,"PAU","Home",2005,187
3,"POL","Home",2005,176
4,"ALEX","Home",2005,167
5,"DAVID","Home",2005,157
6,"DANIEL","Home",2005,151
7,"JAN","Home",2005,122
8,"ARNAU","Home",2005,115
9,"MARTI","Home",2005,111
10,"PABLO","Home",2005,106
11,"VICTOR","Home",2005,103
12,"ALEJANDRO","Home",2005,102
13,"ADRIA","Home",2005,100
14,"ERIC","Home",2005,90
15,"ORIOL","Home",2005,89
16,"GERARD","Home",2005,87
17,"JOAN","Home",2005,82
18,"JORDI","Home",2005,78
19,"GUILLEM","Home",2005,77
20,"IVAN","Home",2005,68
21,"SERGI","Home",2005,67
22,"ALBERT","Home",2005,66
23,"JOEL","Home",2005,66
24,"XAVIER","Home",2005,63
25,"ROGER","Home",2005,62
1,"MARC","Home",2006,229
2,"POL","Home",2006,173
3,"ALEX","Home",2006,168
4,"PAU","Home",2006,163
5,"DANIEL","Home",2006,141
6,"ARNAU","Home",2006,117
7,"DAVID","Home",2006,116
8,"VICTOR","Home",2006,111
9,"MARTI","Home",2006,98
10,"ALEJANDRO","Home",2006,95
11,"ADRIA","Home",2006,92
12,"JOAN","Home",2006,91
13,"ERIC","Home",2006,88
14,"ORIOL","Home",2006,88
15,"JAN","Home",2006,84
16,"JOEL","Home",2006,83
17,"GUILLEM","Home",2006,79
18,"PABLO","Home",2006,76
19,"GERARD","Home",2006,72
20,"ROGER","Home",2006,71
21,"HUGO","Home",2006,70
22,"IKER","Home",2006,63
23,"ALBERT","Home",2006,61
24,"BIEL","Home",2006,59
25,"ALVARO","Home",2006,58
1,"MARC","Home",2007,237
2,"ALEX","Home",2007,163
3,"PAU","Home",2007,148
4,"POL","Home",2007,140
5,"DANIEL","Home",2007,132
6,"DAVID","Home",2007,127
7,"ERIC","Home",2007,126
8,"MARTI","Home",2007,126
9,"ARNAU","Home",2007,115
10,"VICTOR","Home",2007,98
11,"ALEJANDRO","Home",2007,94
12,"JOAN","Home",2007,89
13,"PABLO","Home",2007,89
